source_id;target_id;matching
34831;207682339;true
23635;202900002;true
34662;208294722;true
27739;204644752;true
33161;207390656;true
34253;206887992;true
11338;90140166;true
36033;202861078;true
36705;208930722;true
37469;209310248;true
35525;207543201;true
34465;209890796;true
34901;208294715;true
32584;206179562;true
27501;203928709;true
31374;208455792;true
33444;207667995;true
9646;203111113;true
34926;208117932;true
36207;10363070;true
18087;203150909;true
37054;208941074;true
33936;207391019;true
27975;10360978;true
38231;201744288;true
36388;208226694;true
26930;203445879;true
33443;207390652;true
13155;90109367;true
33453;207876535;true
19672;203088013;true
17479;90145972;true
32906;203324965;true
20466;201692695;true
34158;206895864;true
34309;208455893;true
36117;206901652;true
33057;208033806;true
33938;208464825;true
33801;207544265;true
36264;209000383;true
32323;204222207;true
36118;203142471;true
37496;202985950;true
33966;205561996;true
33713;206812380;true
32280;205985719;true
29823;204792884;true
19132;202778315;true
30203;208156275;true
38640;209890560;true
22727;202619749;true
4696;90049928;true
29950;204559210;true
24571;202537967;true
28149;203131412;true
23006;202456880;true
28020;204734549;true
36796;208154853;true
35044;208504370;true
34725;207666381;true
35925;205074375;true
35309;208504378;true
35022;208117925;true
27186;204292477;true
36149;207907550;true
38483;210259873;true
35054;202784218;true
30603;208111279;true
33788;207543197;true
34266;207900180;true
33522;207654106;true
32150;207390506;true
27810;204563770;true
14070;203162678;true
33581;207388759;true
9355;203151776;true
37123;209114552;true
38346;208167531;true
33863;207391013;true
34089;207900175;true
25550;202827713;true
37078;210399915;true
32279;205985717;true
34150;207514563;true
34009;207595882;true
37650;209122924;true
33717;206928604;true
28180;202916534;true
35431;207506251;true
33645;206928607;true
33948;207391018;true
37477;209634135;true
31337;203884610;true
33668;206917817;true
16758;90137168;true
38327;207390671;true
25814;202973396;true
33522;207986293;true
23325;204787744;true
23325;202456903;true
33220;208653767;true
37287;208937533;true
35591;208171946;true
31954;206356233;true
30159;208033486;true
32990;206812505;true
33670;206917814;true
25813;202973389;true
552;90132241;true
25364;203201060;true
25749;202827715;true
38777;204587960;true
34036;207390682;true
38214;210399746;true
21989;204274645;true
20448;10377226;true
34858;208294698;true
37805;209085175;true
32340;205761530;true
34300;207543192;true
37301;209302310;true
38451;205817166;true
35666;208289990;true
30962;205599985;true
38876;210634625;true
38477;10011646;true
37254;209199789;true
38001;209871973;true
13700;90111702;true
37141;209194240;true
24368;202899996;true
37110;209114551;true
29865;205664972;true
31887;206639246;true
35277;208085253;true
21875;201700823;true
37716;207899810;true
24386;203340101;true
37856;210252385;true
38127;209720586;true
33767;208112357;true
39039;210490135;true
22212;90131741;true
27857;204035273;true
33569;207388757;true
32560;207540310;true
34091;207686156;true
580;202812620;true
32193;205809367;true
14061;203025423;true
25788;203396327;true
28148;203131413;true
37293;209245965;true
30841;205554287;true
35334;208504396;true
37474;209310245;true
26930;203920144;true
37309;209901964;true
26241;208456199;true
33275;206808430;true
39038;204348269;true
34864;208294717;true
33669;206917815;true
6742;202845629;true
37183;209656949;true
33671;206917816;true
34595;203199121;true
25905;202479418;true
34998;208079230;true
34894;208504340;true
34860;208114664;true
32744;204832843;true
22306;202291459;true
23519;208456185;true
36305;202899626;true
36001;208504423;true
34278;207934190;true
34941;208504307;true
31373;208455791;true
19676;90145560;true
29029;204679142;true
38511;210460676;true
27137;204049780;true
8060;90105056;true
35045;207986331;true
33763;208112356;true
33326;207390641;true
39179;10365096;true
34829;207682340;true
34282;207514566;true
36502;209306029;true
34349;207660498;true
36816;208893656;true
34065;207643194;true
29861;204792876;true
26563;202125720;true
28650;203131635;true
38098;209026630;true
33931;207391017;true
27789;204292470;true
28340;208456215;true
30196;205593367;true
34661;208294716;true
34640;206120294;true
37964;209310243;true
36636;206783256;true
24937;203324914;true
30158;204937142;true
26622;203201062;true
33601;204558176;true
35018;207900343;true
27407;203930685;true
28138;204327516;true
38278;206725964;true
24034;50017228;true
37360;202784323;true
29338;202143947;true
33864;207936135;true
36249;208504437;true
39088;205074757;true
35014;208117937;true
25829;202827684;true
32226;205985716;true
20461;201692679;true
25857;202870177;true
31414;204222915;true
27194;204318283;true
34361;207642497;true
32889;208085178;true
37915;207465595;true
31992;203952966;true
33532;204071217;true
34648;207919773;true
35877;204020411;true
35308;208270234;true
36993;206928378;true
21182;202486964;true
38522;210267015;true
35663;207536226;true
37354;207390184;true
32055;210206538;true
32984;203934122;true
37648;209122921;true
26346;202537962;true
34905;207514568;true
16774;90139860;true
33625;207506253;true
34962;208114681;true
32876;204053338;true
38653;210571462;true
23246;204787802;true
36515;209687172;true
29820;202882380;true
38574;210190784;true
33272;209273200;true
33047;201692665;true
35853;208085175;true
25167;203324800;true
29272;203900792;true
35738;208688474;true
32005;202899998;true
34126;203166120;true
22242;203198950;true
34724;207666382;true
29902;205665803;true
36761;208453648;true
38164;209700735;true
17067;90140498;true
36962;207899814;true
35035;208156879;true
29464;204793355;true
37810;210462233;true
39054;207390496;true
20532;90105654;true
35475;208670546;true
33498;206928390;true
20453;201692677;true
38693;208710842;true
33536;206898357;true
28256;204563763;true
32322;203405815;true
35237;207686035;true
38400;209208547;true
13701;90108521;true
34393;206362748;true
28963;202106724;true
34096;207642358;true
10640;203024425;true
32877;204297424;true
33276;205865183;true
35033;208156877;true
34723;207666380;true
27197;204318288;true
14563;202870448;true
27729;203379250;true
36722;209656935;true
38587;208937347;true
33298;206526266;true
38800;207654105;true
32384;202989028;true
34961;208114683;true
34260;207390507;true
24493;202900030;true
16329;210521578;true
34904;208294927;true
37162;209208718;true
28205;204419878;true
36021;208226693;true
34559;207907557;true
27778;205844282;true
36172;207907535;true
29072;208456130;true
38704;209114575;true
16765;204569335;true
37811;209245960;true
23651;202784323;true
5644;203023505;true
36097;205838157;true
32653;205888207;true
36824;209306028;true
35872;207937885;true
31956;206356229;true
37686;208893667;true
34392;206362747;true
38751;204389692;true
35467;201699873;true
32625;201935116;true
34947;208114673;true
36260;10316920;true
32664;209975310;true
38434;210227285;true
17653;10382243;true
35183;208117920;true
30575;209297205;true
36299;208342524;true
33586;207338890;true
36061;208791922;true
34727;207666379;true
36383;208226699;true
25858;202870184;true
7195;90105458;true
34557;207907559;true
17596;90139261;true
36161;208171631;true
33950;208456233;true
13945;207544306;true
