source_id;target_id;matching
b000h241zg;http://www.google.com/base/feeds/snippets/18399328874850787866;true
b000bcicr0;http://www.google.com/base/feeds/snippets/17392222800642377551;true
b000mz7c2w;http://www.google.com/base/feeds/snippets/15648850844085647958;true
b000ivl050;http://www.google.com/base/feeds/snippets/17758143132560820340;true
b000hlr9my;http://www.google.com/base/feeds/snippets/2255189038262879768;true
b000ffsgho;http://www.google.com/base/feeds/snippets/4935901327541769811;true
b000hbysc8;http://www.google.com/base/feeds/snippets/11343515411965421256;true
b000hlt5g2;http://www.google.com/base/feeds/snippets/3274305083856247424;true
b000egidue;http://www.google.com/base/feeds/snippets/18264347410665748173;true
b00006iqth;http://www.google.com/base/feeds/snippets/13286819633533674312;true
b0007yepx2;http://www.google.com/base/feeds/snippets/17962667015870936885;true
b00006sijr;http://www.google.com/base/feeds/snippets/10621416214836586442;true
b000f613x2;http://www.google.com/base/feeds/snippets/18428018889032699615;true
b000in18nm;http://www.google.com/base/feeds/snippets/12354599434001970846;true
b00007bguc;http://www.google.com/base/feeds/snippets/17967569973770560353;true
b0007lw22g;http://www.google.com/base/feeds/snippets/10849068506859926430;true
b0001wn0sq;http://www.google.com/base/feeds/snippets/7946849252371593289;true
b0007sxglk;http://www.google.com/base/feeds/snippets/12109861711097484827;true
b000nknb26;http://www.google.com/base/feeds/snippets/16685945982481680279;true
b0007yepyg;http://www.google.com/base/feeds/snippets/14284530408597272725;true
b0000c6eol;http://www.google.com/base/feeds/snippets/10445277524546945239;true
b0007lw22g;http://www.google.com/base/feeds/snippets/4539901557040997564;true
b000j4oxf0;http://www.google.com/base/feeds/snippets/16319944090637292990;true
b000na1v8w;http://www.google.com/base/feeds/snippets/12662824890153121005;true
b000090179;http://www.google.com/base/feeds/snippets/16002979675138477406;true
b0007sxglk;http://www.google.com/base/feeds/snippets/17762641182538089473;true
b000hbxjt6;http://www.google.com/base/feeds/snippets/18387306349260922373;true
b000mti8mq;http://www.google.com/base/feeds/snippets/5408845339376590167;true
b000h294mq;http://www.google.com/base/feeds/snippets/17383951289144054339;true
b0001wn18u;http://www.google.com/base/feeds/snippets/664913958514106734;true
b000hlp64w;http://www.google.com/base/feeds/snippets/11554840496283672285;true
b000067vpa;http://www.google.com/base/feeds/snippets/18389772286278704810;true
b000b6n2o4;http://www.google.com/base/feeds/snippets/18386275313356170584;true
b0007lw230;http://www.google.com/base/feeds/snippets/10628460274071713512;true
b000ro7h3w;http://www.google.com/base/feeds/snippets/13792413550965266630;true
b000b6oboo;http://www.google.com/base/feeds/snippets/12418972562708861095;true
b0009suw4w;http://www.google.com/base/feeds/snippets/4325793427900176296;true
b000j6ddrw;http://www.google.com/base/feeds/snippets/18378133609675219667;true
b000v7pf3o;http://www.google.com/base/feeds/snippets/17249871924749189514;true
b00013wh0w;http://www.google.com/base/feeds/snippets/10202903815808902868;true
b000ndibws;http://www.google.com/base/feeds/snippets/9484979283744840884;true
b000saufbg;http://www.google.com/base/feeds/snippets/18225778049143407208;true
b000eztvym;http://www.google.com/base/feeds/snippets/3370622523798561341;true
b000v7v2uo;http://www.google.com/base/feeds/snippets/18218026817519050250;true
b00009m8ur;http://www.google.com/base/feeds/snippets/13743628234242373469;true
b000qxd2tc;http://www.google.com/base/feeds/snippets/7653075580455328736;true
b0002ibeve;http://www.google.com/base/feeds/snippets/3360196621571367222;true
b000h16p9m;http://www.google.com/base/feeds/snippets/3846293022585027470;true
b000gr1ceu;http://www.google.com/base/feeds/snippets/2062975649512805986;true
b000feygds;http://www.google.com/base/feeds/snippets/437358952274487020;true
b000b56boi;http://www.google.com/base/feeds/snippets/6779487277459931782;true
b00030cbu4;http://www.google.com/base/feeds/snippets/18379664802687261824;true
b000nif4im;http://www.google.com/base/feeds/snippets/16793437722628106463;true
b000ivjv10;http://www.google.com/base/feeds/snippets/16673725682059181917;true
b000b5srju;http://www.google.com/base/feeds/snippets/16872612252422367466;true
b0009affew;http://www.google.com/base/feeds/snippets/17165389585205797735;true
b000nkklwy;http://www.google.com/base/feeds/snippets/18277858650749573891;true
b0009yn1rq;http://www.google.com/base/feeds/snippets/8664755713112971171;true
b000ofnrhy;http://www.google.com/base/feeds/snippets/5098650180744423847;true
b000edvrtq;http://www.google.com/base/feeds/snippets/14326164391298371952;true
b000h2can6;http://www.google.com/base/feeds/snippets/866471509127749885;true
b000h0k3zu;http://www.google.com/base/feeds/snippets/12105115514315351902;true
b000e65hki;http://www.google.com/base/feeds/snippets/11050991040966629398;true
b000090179;http://www.google.com/base/feeds/snippets/9700384320550908183;true
b000e2d3lc;http://www.google.com/base/feeds/snippets/16769449274864717899;true
b000q6zk3a;http://www.google.com/base/feeds/snippets/18371419521576660155;true
