subject_id,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/11125907881740407428,learning quickbooks 2007,learning quickbooks 2007,intuit,38.99
http://www.google.com/base/feeds/snippets/11343515411965421256,qb pos 6.0 basic software,qb pos 6.0 basic retail mngmt software. for retailers who need basic inventory sales and customer tracking.,intuit,637.99
http://www.google.com/base/feeds/snippets/12244614697089679523,production prem cs3 mac upgrad,adobe cs3 production premium mac upgrade from production studio premium or standard,adobe software,805.99
http://www.google.com/base/feeds/snippets/12311932123270766595,video studio 11 plus,corel video studio 11 plus is consumer video editing and dvd authoring software that lets anyone do more with video.,corel corporation,103.99
http://www.google.com/base/feeds/snippets/12835181529749808477,qb pos 6.0 pro multi store sw,qb pos 6.0 pro multistore retail mngmt software. has all the features in basic plus the ability to manage up to ten stores from a single office.,intuit,1054.99
http://www.google.com/base/feeds/snippets/12949835105262366018,qb credit card kit 3.0,quickbooks credit card kit v3.0 (2007),intuit,25.99
http://www.google.com/base/feeds/snippets/12991998923940483779,vegas movie studiodvd+8 plat,sony media software vegas movie studio +dvd 8 platinum edition. video editing and dvd creation software vegas movie studio platinum edition software provides the power features and advanced tools you need to edit video in nearly any format ...,sony creative software,92.99
http://www.google.com/base/feeds/snippets/13394537834910060641,qb pos 6.0 pro solution hw/sw,qb pos 6.0 pro solution hw/sw. ships in an unprinted corrugated shipper.,intuit,1474.99
http://www.google.com/base/feeds/snippets/10563522754094993865,evergirl: pc cd-rom video game,based on the tween lifestyle brand launched in 2004 this action/adventure game will contain loads of adventures tailored specifically to the player's personality type. the evergirl brand features a clothing and accessories line with a companion web ...,,14.99
http://www.google.com/base/feeds/snippets/13558726664717453661,902453-007-b rumba unix-hp edition - upgrade license - 1 user - volume - level b ( 5-49 ) - c,netmanage 902453-007-b : usually ships in 24 hours : : the rumba product family provides users secure access to mission-critical applications and data residing on virtually any host system from the latest windows desktops including windows xp and ...,,147.73
http://www.google.com/base/feeds/snippets/11635339528486156141,channel sources distribution co mlw6.0 checkmark multiledger for pc/mac,no description available,channel sources distribution co,294.58
http://www.google.com/base/feeds/snippets/5781318040297863663,ipswitch wd-1000-0900 ws_ftp pro 9 sdk w/ ws_ftp pro,no description available,ipswitch,325.51
http://www.google.com/base/feeds/snippets/9949258255997064102,money prem 2007 cd minibox,money premium 2007 win32 english north america us only cd mini box non-rebate,microsoft,63.99
http://www.google.com/base/feeds/snippets/12905177887993533095,dora the explorer: dora world adventures pc cd-rom,travel around the world with dora and swiper to recover the missing friendship day parades all over the world. meet new friends and overcome pre-school-appropriate challenges as you explore activities and games from china tanzania russia and ...,,19.99
http://www.google.com/base/feeds/snippets/10299611596430222322,adobe photoshop elements 4.0 mac,system requirements: powerpc® g3 g4 or g5 processor mac os x v.10.3 or 10.4 256mb of ram 750mb of available hard-disk space 1024x768 16-bit (xga) display cd-rom drive product datasheet [pdf: 1.1mb],,79.99
http://www.google.com/base/feeds/snippets/9897777989987457856,roxio popcorn 2 video conversion software,requirements: macintosh computer with intel or powerpc processor (g4 or faster). popcorn 2 is a universal binary and runs natively on both intel and powerpc mac os x v10.4 or later quicktime 7 or later itunes 6 or later up to 15 gb of temporary free ...,,44.99
http://www.google.com/base/feeds/snippets/18225778049143407208,avanquest usa llc partition commander 10,,,43.32
http://www.google.com/base/feeds/snippets/9761533219806554318,adobe indesign cs3 for mac upgrade,system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 256mb ram (512mb recommended) 1.6gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...,,205.99
http://www.google.com/base/feeds/snippets/18226456193742595288,bamboo technology llc vault360 combo,capitalizing on the popularity of the ipod psp and zen vision vault360 combo allows consumers to transfer dvd's vcd's svcd's recorded tv or video files and now the addition of music and photos stored on their computers or from disc and,,24.58
http://www.google.com/base/feeds/snippets/10445277524546945239,macspeech ilisten software,feature summary easy to install train and use continuous speech recognition - dictation in normal tone of voice and at a normal pace using the philips freespeech 2000 speech engine direct dictation - dictate edit and format text directly in any ...,,99.99
http://www.google.com/base/feeds/snippets/18234349657423202538,destineer publishing coporation starship troopers/first to fight bundle,system requirements: minimum: windows xp (sp2) 2.0 ghz cpu 512 mb ram 128 bm video card with hardware vertex and pixel shaders 4 gb free hard drive space directx 9.0c compatible sound card directx9. recommend,,15.08
http://www.google.com/base/feeds/snippets/18240281005302874979,global marketing partners art text - belight software,art text is an excellent mac os x application to create high quality textual graphics headings logos icons web banners and more. system requirements: mac os x 10.4 or later. 10 mb of available hard drive space. printer inkje,,43.29
