source_id;target_id;matching
http://dws.products.wdc/node12a487b64f9b104773246d122b8c3a92;http://dws.products.catalog/ad675031-89ee-4cfd-9c48-9b372b5bb9c7;true
http://dws.products.wdc/node9754978634a425288fb0353b3e8f7;http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32;true
http://dws.products.wdc/node2c1835e3eeda81f23d0c76bd142137;http://dws.products.catalog/7f794042-0085-4ab7-b395-07b1ba28495c;true
http://dws.products.wdc/node9edaefebe63b5fe67b915da65c5cafe4;http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32;true
http://dws.products.wdc/node78f151c1284cdd71e442dcfaa7435f;http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32;true
http://dws.products.wdc/node7cdca93b33934bd1dc76785bfd992f;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node1bb0e1c4c921e4539573bd99f9b61b;http://dws.products.catalog/20f90193-ab81-4a40-baf4-b97c5d275852;true
http://dws.products.wdc/node9cddb7f1b86e488205863528de9f9b2;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node8d72ca8b5da2528e4a5fa22f6969;http://dws.products.catalog/ad675031-89ee-4cfd-9c48-9b372b5bb9c7;true
http://dws.products.wdc/nodec11a7f2113ea8b8f7d6580d2cec945f;http://dws.products.catalog/20f90193-ab81-4a40-baf4-b97c5d275852;true
http://dws.products.wdc/node2ffe627f9ce8bcc7aed126d68adc25;http://dws.products.catalog/41c03234-25d7-4ae4-8ac5-25f1033f48b4;true
http://dws.products.wdc/node865379f20836bc6ac134fb1e8f110c4;http://dws.products.catalog/a56e0322-3516-413f-81d0-d5beb0a0007b;true
http://dws.products.wdc/node587f4d6a481b37c2b235228a31517819;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node2861d3cd4827d9eac3e21a5a65dbe51;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node19b1115754d4dbd9e94580bbd5fb80;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node2c31f26fd75196dc159da1d721a0bb;http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32;true
http://dws.products.wdc/node93a7daf5db259edd595fbc8cdde6f75b;http://dws.products.catalog/7704decf-8909-4c6b-9c4b-9bb09166a5c9;true
http://dws.products.wdc/node7af92e65cea237de3eff3518e65ad57;http://dws.products.catalog/41c03234-25d7-4ae4-8ac5-25f1033f48b4;true
http://dws.products.wdc/nodea842d8c3e9166282139fd840815c95ed;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node12ef16d7e3c449628bb07546c473a39;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node4ac5bbb1e61bda4b5b1b2cc4796534;http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32;true
http://dws.products.wdc/node6ccfc5f9287ab5ee289283342d93ef4;http://dws.products.catalog/41c03234-25d7-4ae4-8ac5-25f1033f48b4;true
http://dws.products.wdc/node6aa477162a4896667062b134af20b7db;http://dws.products.catalog/7f794042-0085-4ab7-b395-07b1ba28495c;true
http://dws.products.wdc/nodebf708bcff01c4262512adab4ec639a52;http://dws.products.catalog/41c03234-25d7-4ae4-8ac5-25f1033f48b4;true
http://dws.products.wdc/node5f594283b17ab0e2cf59b8ad6c73;http://dws.products.catalog/ad675031-89ee-4cfd-9c48-9b372b5bb9c7;true
http://dws.products.wdc/node37891e521e9e7c5c8c4bb8ef277858;http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32;true
http://dws.products.wdc/nodeeea691eeffffba93d7ac415674bc5c;http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32;true
http://dws.products.wdc/node2592dce727f1e3377acbd349ab57a272;http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32;true
http://dws.products.wdc/node84350ef776d74bf5279ffa6c77b95;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/nodeb79d64be2b85c1634da111ed37e5e9b;http://dws.products.catalog/7c4a9ace-63eb-4420-b3c2-b45fa2e7a830;true
http://dws.products.wdc/node561f2c5c247b69d95f6c1cf54171b376;http://dws.products.catalog/20f90193-ab81-4a40-baf4-b97c5d275852;true
http://dws.products.wdc/nodeb8ce6d2461b936275a52a1cf6f9fed34;http://dws.products.catalog/7c5c3cf9-1d75-486b-9b5a-4843dd167847;true
http://dws.products.wdc/node295ae492212931abab08b20de9ec8ee;http://dws.products.catalog/7f794042-0085-4ab7-b395-07b1ba28495c;true
http://dws.products.wdc/node7476d64de823683dfe2a973c7ce6e24c;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node7cf67fc0e45648837a1bfcd4d9b49b3;http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab;true
http://dws.products.wdc/node785cc02cd1b3b48158ac099c2d9beb9;http://dws.products.catalog/ad675031-89ee-4cfd-9c48-9b372b5bb9c7;true
