subject_id||<http://schema.org/Product/warc>||<http://schema.org/Product/manufacturer>||<http://schema.org/Product/product_gtin>||<http://schema.org/Product/wattage>||<http://schema.org/Product/weight>||<http://schema.org/Product/phone_carrier>||<http://schema.org/Product/processor_type>||<http://schema.org/Product/front_cam_resolution>||<http://schema.org/Product/memory>||<http://schema.org/Product/width>||<http://schema.org/Product/body_material>||<http://schema.org/Product/depth>||<http://schema.org/Product/brand>||<http://schema.org/Product/display_resolution>||<http://schema.org/Product/phone_type>||<http://schema.org/Product/height>||<http://schema.org/Product/product_type>||<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>||<http://schema.org/Product/computer_operating_system>||<http://schema.org/Product/display_size>||<http://schema.org/Product/color>||<http://schema.org/Product/dimensions>||<http://schema.org/Product/rear_cam_resolution>||<http://schema.org/Product/ram>||<http://schema.org/Product/product_code>||<http://schema.org/Product/mpn>||<http://schema.org/Product/url>||<http://schema.org/Product/modelnum>||
http://dws.products.wdc/node9ace9d5daf49116fed3f11241dff6d||ebay.com0.warc.nq.gz||||||2840mah||5.54 oz||unlocked||||||32gb||2.74 in||||0.38 in||htc||||one m9||5.69 in||smartphone||<http://schema.org/Product>||android||5 in||gold on silver||||20 mp||||||ebay_htconem932gbgoldonsilverunlocked||http://www.ebay.com/itm/nice-factory-unlocked-htc-one-m9-32gb-android-overseas-world-gold-silver-x58b-/161960828753?hash=item25b59e1f51:g:xscaaoswnyfwgnf4||||
http://dws.products.wdc/node69993369122c7e3d3ef5c053ea29e||ebay.com0.warc.nq.gz||taiwan||||||||||mtk helio x10 mt6795t 64-bit octa core (8 x 2.2 ghz)||4 mp||32gb||||||||htc||||one m9+||||||<http://schema.org/Product>||||5.2 in||silver||||21 mp||3gb||does not apply||99haha003-00||http://www.ebay.com/itm/htc-one-m9-plus-supreme-camera-edition-unlocked-32gb-4g-5-2in-13mp-silver-/191653372316?hash=item2c9f6e619c:g:wlwaaoswhnfvwxq-||||
http://dws.products.wdc/node512f60e252495623f6c21d25eb3e3977||aliexpress.com0.warc.nq.gz||||||||||||dual-core||||32gb||||||||apple||||iphone 5c||||smartphone||<http://schema.org/Product>||8||''||||||8 mp||1gb||||||http://www.aliexpress.com/item/original-apple-iphone-5c-phone-32gb-dual-core-ios-7-4-0-ips-screen-1gb-ram/2031745577.html?ws_ab_test=searchweb201556_6%2csearchweb201644_1_505_506_503_504_502_10001_10002_10016_10017_10010_10005_10011_10006_10003_10004_10009_10008%2csearchweb201560_8%2csearchweb1451318400_-1%2csearchweb1451318411_6451&btsid=1aeda8fe-f344-40e3-9155-077bc12ad766&_escaped_fragment_=||||
http://dws.products.wdc/nodea5f43f7acc1df5357a32d215716||ebay.com0.warc.nq.gz||||||||||||||||32gb||||||||sony||||xperia z5 premium||||||<http://schema.org/Product>||android||||black, gold, chrome||||||||||||http://www.ebay.com/itm/brand-new-unlocked-sony-xperia-z5-premium-32gb-lte-chrome-black-gold-/301857485589?hash=item46481bb315:g:5peaaoswkzhwrlpj||||
http://dws.products.wdc/node58ed727e945adbead72307158ea814||ebay.com0.warc.nq.gz||||885909727834||1560 mah||3.95 oz||verizon||||||32gb||2.31 in||||0.3 in||apple||1136 x 640 pixels||iphone 5s||4.87 in||smartphone||<http://schema.org/Product>||||4 in||space gray||||8 mp||||||me344ll/a||http://www.ebay.com/itm/amazing-condition-apple-iphone-5s-32gb-space-gray-grey-verizon-bundle-/172062575601?hash=item280fba8bf1:g:qg4aaosw4utwsnoo||||
http://dws.products.wdc/nodec09ba8f36f4f8292d4449c3fa225c12b||ebay.com1.warc.nq.gz||||||||||||||||32gb||||||||nokia||||lumia 1520||||||<http://schema.org/Product>||microsoft windows mobile||||red||||||||||6184a||http://www.ebay.com/itm/nokia-lumia-1520-16gb-red-at-t-smartphone-clean-imei-l0545/111369719659?_trksid=p2047675.c100012.m1985&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d35315%26meid%3d09469a796b2e400a8f834f3f60b26872%26pid%3d100012%26rk%3d1%26rkt%3d9%26sd%3d201517417879||||
http://dws.products.wdc/node388adf527908e549463b37bbd5958f||ebay.com1.warc.nq.gz||||||||||||||||||||||||nokia||||lumia 929||||||<http://schema.org/Product>||windows phone 8||5 in||black||||20 mp||2gb||does not apply||does not apply||http://www.ebay.com/itm/nokia-lumia-929-icon-4g-lte-32gb-verizon-unlocked-gsm-windows-8-smartphone/111756271466?_trksid=p2047675.c100012.m1985&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d35315%26meid%3d69a0d72e25224dc5addf82390176b063%26pid%3d100012%26rk%3d9%26rkt%3d10%26mehot%3dlo%26sd%3d262271626366||||
http://dws.products.wdc/node2de9ea7b63e753e54f483bacae73c7e6||ebay.com0.warc.nq.gz||||||2600mah||5.64 oz||verizon||quad core||||32gb||2.78 in||||0.37 in||htc||1920 x 1080||one m8||5.76 in||||<http://schema.org/Product>||||5 in||gunmetal gray||||5 mp||||821793042189||htc6995lvw||http://www.ebay.com/itm/htc-one-m8-32gb-amber-gold-unlocked-at-t-gsm-smartphone-clean-imei/291677537630?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d33876%26meid%3df1ba4c87692b450b9c9a8ee3e6ab48a3%26pid%3d100005%26rk%3d6%26rkt%3d6%26sd%3d172080204551&rt=nc||||
http://dws.products.wdc/node377837796427dddbdddbbcc641fadaa||newegg.com0.warc.nq.gz||||||3000mah||5.40 oz||||quad-core 1.5 ghz cortex-a53 & quad-core 2.1 ghz cortex-a57, mali-t760mp8 gpu||5 mp||32gb||||||||samsung||518 ppi||galaxy s6 edge+||||||<http://schema.org/Product>||android 5.1 lollipop||5.7 in||gold||6.08 x 2.98 x 0.27 in||16 mp||4gb||||g928g 32gb gold||http://www.newegg.com/product/product.aspx?item=n82e16875169103&cm_re=samsung_s6_edge-_-75-169-103-_-product||||
http://dws.products.wdc/node3566ad9489c57f9f5f5c94588688f231||ebay.com1.warc.nq.gz||||885909727896||1560 mah||3.95 oz||sprint||||||16gb||2.31 in||||0.3 in||apple||1136 x 640 pixels||iphone 5s||4.87 in.||smartphone||<http://schema.org/Product>||ios - apple||4 in||space gray||||8 mp||||||me350ll/a||http://www.ebay.com/itm/apple-iphone-5s-16gb-space-gray-sprint-clean-esn-unlocked-excel-cond/222013085945?_trksid=p2047675.c100011.m1850&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d33876%26meid%3d04c603f769664633a97b86f58d37a6e1%26pid%3d100011%26rk%3d4%26rkt%3d10%26sd%3d281923239451||||
http://dws.products.wdc/node184f6ea8a1ee2399a6acc6d31871fd||bestbuy.com0.warc.nq.gz||||||||||||||||||||||||fosmon||||||||cover||<http://schema.org/Product>||||||clear||||||||||||http://www.bestbuy.com/site/fosmon-slim-fit-protective-durable-flexible-tpu-matte-finish-case-cover-for-google-huawei-nexus-6p-clear/1314217580.p?id=mp1314217580&skuid=1314217580||||
