subject_id||<http://schema.org/Product/product_gtin>||<http://schema.org/Product/cables_included>||<http://schema.org/Product/weight>||<http://schema.org/Product/mdoel>||<http://schema.org/Product/aditional_features>||<http://schema.org/Product/sensitivity>||<http://schema.org/Product/series>||<http://schema.org/Product/model>||<http://schema.org/Product/headphones_form_factor>||<http://schema.org/Product/width>||<http://schema.org/Product/depth>||<http://schema.org/Product/sound_output_mode>||<http://schema.org/Product/thd>||<http://schema.org/Product/detachable_cable>||<http://schema.org/Product/brand>||<http://schema.org/Product/foldable>||<http://schema.org/Product/microphone_sensitivity>||<http://schema.org/Product/max_input_power>||<http://schema.org/Product/product_type>||<http://schema.org/Product/height>||<http://schema.org/Product/included_accessories>||<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>||<http://schema.org/Product/controls>||<http://schema.org/Product/warranty>||<http://schema.org/Product/headphones_technology>||<http://schema.org/Product/color>||<http://schema.org/Product/frequency_response>||<http://schema.org/Product/microphone_response>||<http://schema.org/Product/impedance>||<http://schema.org/Product/microphone_audio_details>||<http://schema.org/Product/compatibility>||<http://schema.org/Product/diaphragm>||<http://schema.org/Product/magnet_material>||<http://schema.org/Product/compliant_standards>||<http://schema.org/Product/connectivity_technology>||<http://schema.org/Product/headphones_cup_type>||<http://schema.org/Product/microphone>||<http://schema.org/Product/mpn>||
http://dws.products.catalog/9f08c431-0ca6-46e7-a50f-378ff3d15479||04961310118617||headphones cable - integrated - 10 ft||9.3 oz||||||100 db/mw||ath-ad||ath-ad700x||full size||||||||||||audio-technica||||100 db/mw||||headphones||||3.5 mm to 6.3 mm adapter||<http://schema.org/Product>||||||dynamic||||5 - 30000 hz||5 - 30000 hz||38 ohm||||||2.1 in||||||wired||||||||
http://dws.products.catalog/9b2fef2c-8632-48ba-a855-ff58a40a3b6c||09002761021189||headphones cable - 10 ft||240 g||||||94 db/mw||||k171 pro||circumaural||185 mm||||stereo||0.4%||yes||akg||||||200 mw||headphones||190 mm||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||||18 - 26000 hz||||55 ohms||||||||neodymium||||wired||||||2908x00190, k 171 studio||
http://dws.products.catalog/a3287c43-9c90-47d3-b0fe-9eca9dcf01e3||00615104257948||headphones cable - 4 ft||0.42 oz, 12 g||||||118 db spl/v||cx||cx 3.00||in-ear||||||stereo||0.50%||||sennheiser||n/a||n/a||||earphones||||carrying case, 4 pairs of earpads (extra small, small, medium, large)||<http://schema.org/Product>||n/a||2 years||dynamic||||17 - 21000 hz||n/a||18 ohm||n/a||||||||||wired||||n/a||cx 3.00 red, cx 3.00 red||
http://dws.products.catalog/849b97cf-3b2a-4286-b2ff-9a9ab9724870||00015104053425, 00615104053427, 04012418053420, 04995090006383||headphones cable - external - 10 ft||9.2 oz||||||112 db||||hd 555||full size||||||stereo||0.2%||||sennheiser||||||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||||dynamic||||15 - 28000 hz||||50 ohm||||||||neodymium||||wired||||||005342, 555, hd555||
http://dws.products.catalog/a555bfc9-b5b3-4942-a10d-652a2bf7201f||00028292264535, 00282922645358||headphones cable - detachable||||||||115 db||y||y55||full size||||||stereo||||||akg||yes||115 db||||headphones||||||<http://schema.org/Product>||||||||black||16 - 24000 hz||16 - 24000 hz||32 ohm||||||||||||wired||||yes||harmany55||
http://dws.products.catalog/ddfb9a21-0d4d-45fa-a740-def7e45f2879||00885038021162, 09002761021165||headphones cable - 10 ft||8.46 oz||||||91 db/mw||||k727||full size||||||stereo||||||akg||||||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||||dynamic||||16 - 28000 hz||||55 ohm||||||||||||wired||||||k272hd||
http://dws.products.catalog/7704decf-8909-4c6b-9c4b-9bb09166a5c9||00615104044654, 00615104044784, 00840356434308, 04006087099506, 04012418044657, 04012418045920, 04012418527150, 06151040446540||headphones cable - external - 10 ft||9.2 oz||||||97 db||sennheiser hd||hd 600||full size||||||stereo||0.1 %||||sennheiser||||||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||gray, black||12 - 39000 hz||||300 ohm||||||||neodymium||||wired||||||004465, 04465, 4465, 600, hd600, seahd600||
http://dws.products.catalog/42756e0f-dbdf-4625-9aab-b59935248a6b||04044155083637, 04560252263029||headset cable - integrated - 4 ft headset cable - integrated - 4 ft||||||||112 db||||pc 363d||full size||||||stereo||||||sennheiser||||112 db||||headset||||usb adapter||<http://schema.org/Product>||||2 years warranty||||||15 - 28000 hz||15 - 28000 hz||50 ohm||||||||||||wired||||||504567, pc363d||
http://dws.products.catalog/574a9392-ad9e-42f5-89c3-a8567de45618||0898072002387||detachable cable: 3m (10ft.)||10 oz, 320 gram||||||102 db in 1 mw||||pm-3||full size, circumaural||||||stereo||||||oppo||||n/a||500 mw||headphones||||zippered carrying case, 1/4\ adapter, owner's manual||<http://schema.org/Product>||n/a||||n/a||||10 - 50,000 hz||n/a||26 ohm||n/a||||2.2 in||neodymium||||wired||closed||n/a||||
http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32||00042406196956, 00042406196970||headphones cable - 5 ft||30 grams||||detachable cable, noise isolating||107 db||sound isolating||se215||in-ear||||||stereo||||yes||shure||n/a||n/a||||headphones||||carrying case, 3 foam sleeves, 3 soft flex sleeves||<http://schema.org/Product>||n/a||2 years||dynamic||clear||22 - 17500 hz||n/a||20 ohm||n/a||||n/a||||||wired||n/a||n/a||se215-cl, shse215cl||
http://dws.products.catalog/606f58bc-9376-4f34-81d6-a89cb061b4a2||00845251076080, 04961310033071, 04961310125424||2 x headphones cable - external - 10 ft||8.46 oz||||||96 db||m||ath-m40x||full size||||||stereo||||yes||audio-technica||yes||96 db||||headphones||||headphones pouch, 6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||||15 - 24000 hz||15 - 24000 hz||35 ohm||||||1.6 in||neodymium||||wired||closed||||ath m-40x, atath-m40x, audio-technica ath-m40x, e2athm40x, mpn_34540||
