subject_id||<http://schema.org/Product/warc>||<http://schema.org/Product/product_gtin>||<http://schema.org/Product/cables_included>||<http://schema.org/Product/weight>||<http://schema.org/Product/sensitivity>||<http://schema.org/Product/series>||<http://schema.org/Product/model>||<http://schema.org/Product/headphones_form_factor>||<http://schema.org/Product/width>||<http://schema.org/Product/brand>||<http://schema.org/Product/thd>||<http://schema.org/Product/microphone_sensitivity>||<http://schema.org/Product/max_input_power>||<http://schema.org/Product/product_type>||<http://schema.org/Product/included_accessories>||<http://schema.org/Product/height>||<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>||<http://schema.org/Product/warranty>||<http://schema.org/Product/headphones_technology>||<http://schema.org/Product/color>||<http://schema.org/Product/frequency_response>||<http://schema.org/Product/impedance>||<http://schema.org/Product/compatibility>||<http://schema.org/Product/magnet_material>||<http://schema.org/Product/connectivity_technology>||<http://schema.org/Product/headphones_cup_type>||<http://schema.org/Product/mpn>||<http://schema.org/Product/microphone>||<http://schema.org/Product/url>||
http://dws.products.wdc/node7b43217ae1dc30e7fdf918fb804c468||newegg.com0.warc.nq.gz||||||||||||se215||||||shure||||||||||||||<http://schema.org/Product>||||earbud||black||||||||||3.5mm||||se215bk / cbl-m-+k||||http://www.newegg.com/product/product.aspx?item=9sia37z10p2372&cm_re=shure_se215-_-9sia37z10p2372-_-product||
http://dws.products.wdc/node418a2687c66e137ba34c9cae5dfc959c||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||black||||||||||||||||||http://www.ebay.com/itm/black-replacement-ear-cushion-pads-ring-for-sennheiser-hd515-hd555-hd595-hd518/331683508240?_trksid=p2047675.c100005.m1851&_trkparms=aid%3d222007%26algo%3dsic.mbe%26ao%3d1%26asc%3d34862%26meid%3df06aaacd2caa496ebaa23057554051f4%26pid%3d100005%26rk%3d4%26rkt%3d6%26sd%3d172082449977||
http://dws.products.wdc/node6a4aedcf39a8c35ca789dc812ef6b9f4||ebay.com0.warc.nq.gz||042406196956||||||||||se215||detachable cable||||shure||||||||||||||<http://schema.org/Product>||||||clear||||||||||||||se215-cl||||http://www.ebay.com/itm/new-shure-se215-cl-sound-isolating-earphones-with-single-dynamic-microdriver-/111714824737?hash=item1a02b8f221:g:9s0aaoswpcvvn0wh||
http://dws.products.wdc/node382168c0d69b952791721139c4e1bbf||newegg.com0.warc.nq.gz||||||info not available||||||momentum 2.0||on-ear||||sennheiser||0.5 %||||||headphones||carrying case||||<http://schema.org/Product>||||||black||16hz - 22khz||||android||||3.5mm||||m2oeibrown||||http://www.newegg.com/product/product.aspx?item=n82e16826106769&cm_re=sennheiser_momentum_2.0-_-26-106-769-_-product||
http://dws.products.wdc/node828856b8b8d67e37fb7612e8f158fd8||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/audio-cable-w-control-mic-answer-call-for-shure-se535-se425-se315-se215-se846-/151730843646?hash=item2353dceffe:m:mmcll-y3uftsddnpakbqwmg||
http://dws.products.wdc/node14ac3cb5ed9eb79022dbc4d7f5229a4||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/1-2-m-ofc-wire-cable-remote-mic-for-iphone-to-shure-se535-se425-ue900-headphones-/181818130480?hash=item2a55348030:g:zr0aaoswgq9vucoc||
http://dws.products.wdc/node60d527ac04b627b3cf1fc60b072813||newegg.com0.warc.nq.gz||||||3||113 db||||momentum 2.0||||||sennheiser||0.5%||44 db||||||||||<http://schema.org/Product>||||||ivory||16hz-22khz||||||||||||||||http://www.newegg.com/product/product.aspx?item=n82e16826106762||
http://dws.products.wdc/node43692a6ccb2159cd909282e71b508f||newegg.com0.warc.nq.gz||||||||107db s.p.l. at 1khz||||se215||detachable cable with wireform fit||||shure||||||||||||||<http://schema.org/Product>||||||black||||||||||3.5mm||||||||http://www.newegg.com/product/product.aspx?item=9sia65d3pd8907&sortfield=0&summarytype=0&pagesize=10&selectedrating=-1&videoonlymark=false&isfeedbacktab=true||
http://dws.products.wdc/nodea17af8a1fd82db3d3bc22380ed67758||ebay.com0.warc.nq.gz||||||||||||||||||||||||||||||||<http://schema.org/Product>||||||||||||||||||||||||http://www.ebay.com/itm/shure-se215-clear-replacement-speaker-driver-left-speaker-black-color-/281929369614?hash=item41a44cc80e:g:nswaaoswezvwtys0||
http://dws.products.wdc/node102d81c087f930e9ef3388fc818ffb2||bestbuy.com0.warc.nq.gz||||||||||||cx 3.00||earbud||||sennheiser||||||||headphones||||||<http://schema.org/Product>||||||black||||||||||||||||||http://www.bestbuy.com/site/sennheiser-cx-3-00-earbud-headphones-black/9068119.p?id=1219389052689&skuid=9068119||
